ordinal	jar	distribution_path	original_sha256	pom_relation	recovered_source_namespaces	stage1_disposition	candidate_artifact	candidate_sha256	later_scope	decision_reason
106	aws-java-sdk-costandusagereport-1.12.564.jar	lib/aws-java-sdk-costandusagereport-1.12.564.jar	3470ffc84f173c4c8aeb8cc764ab2c713cfaec998e3046ff707adeaa87a7b881	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-costandusagereport-1.12.564.jar	3470ffc84f173c4c8aeb8cc764ab2c713cfaec998e3046ff707adeaa87a7b881	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
107	aws-java-sdk-costexplorer-1.12.564.jar	lib/aws-java-sdk-costexplorer-1.12.564.jar	e77a8eb6530426319fd86236758276737aa42694ea89ac0a6de00f22d0a82ee3	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-costexplorer-1.12.564.jar	e77a8eb6530426319fd86236758276737aa42694ea89ac0a6de00f22d0a82ee3	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
108	aws-java-sdk-customerprofiles-1.12.564.jar	lib/aws-java-sdk-customerprofiles-1.12.564.jar	c2f9374a8e2a340ad3bb66a736630840366845a84b76794a0d55d72eebabd3e2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-customerprofiles-1.12.564.jar	c2f9374a8e2a340ad3bb66a736630840366845a84b76794a0d55d72eebabd3e2	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
109	aws-java-sdk-dataexchange-1.12.564.jar	lib/aws-java-sdk-dataexchange-1.12.564.jar	ba2b943430df2bdf69222d6f944aca5c211c4a5ad91cbd73e399f0c555e811d1	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-dataexchange-1.12.564.jar	ba2b943430df2bdf69222d6f944aca5c211c4a5ad91cbd73e399f0c555e811d1	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
110	aws-java-sdk-datapipeline-1.12.564.jar	lib/aws-java-sdk-datapipeline-1.12.564.jar	d63eecb683376a723c4b23e9e0df681335d31c62aaf99edbc70df00bde6475fb	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-datapipeline-1.12.564.jar	d63eecb683376a723c4b23e9e0df681335d31c62aaf99edbc70df00bde6475fb	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
111	aws-java-sdk-datasync-1.12.564.jar	lib/aws-java-sdk-datasync-1.12.564.jar	1bd2349122241113436ff841ff74f4f8d0d68cd1daff6daf6dd216cd529cfe6d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-datasync-1.12.564.jar	1bd2349122241113436ff841ff74f4f8d0d68cd1daff6daf6dd216cd529cfe6d	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
112	aws-java-sdk-datazoneexternal-1.12.564.jar	lib/aws-java-sdk-datazoneexternal-1.12.564.jar	ba5f098fb564ee9bc4ee7b8f2abf89c68318a02d6e689a2a275670f8ac2a175a	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-datazoneexternal-1.12.564.jar	ba5f098fb564ee9bc4ee7b8f2abf89c68318a02d6e689a2a275670f8ac2a175a	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
113	aws-java-sdk-dax-1.12.564.jar	lib/aws-java-sdk-dax-1.12.564.jar	126a59c6ccabc9fbd162d486f4fc016a921479b545e4a407ae69e416961376e2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-dax-1.12.564.jar	126a59c6ccabc9fbd162d486f4fc016a921479b545e4a407ae69e416961376e2	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
114	aws-java-sdk-detective-1.12.564.jar	lib/aws-java-sdk-detective-1.12.564.jar	b7f29d7e936d7b24b23d405e7b7f413d408b658310800dc0b601f15d0fe1de0e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-detective-1.12.564.jar	b7f29d7e936d7b24b23d405e7b7f413d408b658310800dc0b601f15d0fe1de0e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
115	aws-java-sdk-devicefarm-1.12.564.jar	lib/aws-java-sdk-devicefarm-1.12.564.jar	c1fcd2458795b32f8d0392fd8be7613e71916cae3a15cd7735da9a55954bf8ea	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-devicefarm-1.12.564.jar	c1fcd2458795b32f8d0392fd8be7613e71916cae3a15cd7735da9a55954bf8ea	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
116	aws-java-sdk-devopsguru-1.12.564.jar	lib/aws-java-sdk-devopsguru-1.12.564.jar	482342b5f6576949f7a19f0002f90e13d15346a2b4a638ce9ae60ef3a54dc2eb	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-devopsguru-1.12.564.jar	482342b5f6576949f7a19f0002f90e13d15346a2b4a638ce9ae60ef3a54dc2eb	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
117	aws-java-sdk-directconnect-1.12.564.jar	lib/aws-java-sdk-directconnect-1.12.564.jar	0f202769fd3192e1af7c89a7b3baf794956f463b972a9922c1d31073711d61d9	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-directconnect-1.12.564.jar	0f202769fd3192e1af7c89a7b3baf794956f463b972a9922c1d31073711d61d9	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
118	aws-java-sdk-directory-1.12.564.jar	lib/aws-java-sdk-directory-1.12.564.jar	6fe5c75256266325c9a8f082557dd842e8487238442b12e5379383a9569d7eec	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-directory-1.12.564.jar	6fe5c75256266325c9a8f082557dd842e8487238442b12e5379383a9569d7eec	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
119	aws-java-sdk-discovery-1.12.564.jar	lib/aws-java-sdk-discovery-1.12.564.jar	941cbb1b30c0a24b38eba026318b42c249251344c5e2ef48a9cc496e1aa3c9d1	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-discovery-1.12.564.jar	941cbb1b30c0a24b38eba026318b42c249251344c5e2ef48a9cc496e1aa3c9d1	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
120	aws-java-sdk-dlm-1.12.564.jar	lib/aws-java-sdk-dlm-1.12.564.jar	01947441a84232f616338a9c50d085ea6d64da5aa00f8c5d7f4d0fe97a73d8c8	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-dlm-1.12.564.jar	01947441a84232f616338a9c50d085ea6d64da5aa00f8c5d7f4d0fe97a73d8c8	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
121	aws-java-sdk-dms-1.12.564.jar	lib/aws-java-sdk-dms-1.12.564.jar	b65d7cd460b483840c7c882606f05d86b0e1c60d974727d4cca415962bb06d35	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-dms-1.12.564.jar	b65d7cd460b483840c7c882606f05d86b0e1c60d974727d4cca415962bb06d35	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
122	aws-java-sdk-docdb-1.12.564.jar	lib/aws-java-sdk-docdb-1.12.564.jar	9276b728ab664fd7680a80ab98051311ac7c030d61e5b0870829de49b07804cf	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-docdb-1.12.564.jar	9276b728ab664fd7680a80ab98051311ac7c030d61e5b0870829de49b07804cf	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
123	aws-java-sdk-docdbelastic-1.12.564.jar	lib/aws-java-sdk-docdbelastic-1.12.564.jar	879a24ad6a9773d267d3c59fd9e961f702649cf754c3b1e8593d13c62a3464fa	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-docdbelastic-1.12.564.jar	879a24ad6a9773d267d3c59fd9e961f702649cf754c3b1e8593d13c62a3464fa	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
124	aws-java-sdk-drs-1.12.564.jar	lib/aws-java-sdk-drs-1.12.564.jar	6748de806a9a323d71c591457adc8473fd291a4422d2e6af7703aa1f950b6cda	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-drs-1.12.564.jar	6748de806a9a323d71c591457adc8473fd291a4422d2e6af7703aa1f950b6cda	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
125	aws-java-sdk-dynamodb-1.12.564.jar	lib/aws-java-sdk-dynamodb-1.12.564.jar	a37997b433e42fd61de928252bc929cdc52b8008f4b7c53ce622618b2d1a805f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-dynamodb-1.12.564.jar	a37997b433e42fd61de928252bc929cdc52b8008f4b7c53ce622618b2d1a805f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
126	aws-java-sdk-ebs-1.12.564.jar	lib/aws-java-sdk-ebs-1.12.564.jar	66c7a324ea051a1dcb89ad004a184d97d6184bd02492b0574449f132e673a814	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ebs-1.12.564.jar	66c7a324ea051a1dcb89ad004a184d97d6184bd02492b0574449f132e673a814	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
127	aws-java-sdk-ec2-1.11.22.jar	lib/aws-java-sdk-ec2-1.11.22.jar	84c6d5e3a4bf4950071d125b513e768644023244384ea717615eac34696dcae1	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ec2-1.11.22.jar	84c6d5e3a4bf4950071d125b513e768644023244384ea717615eac34696dcae1	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
128	aws-java-sdk-ec2instanceconnect-1.12.564.jar	lib/aws-java-sdk-ec2instanceconnect-1.12.564.jar	0c159524c4296b42ac58f6ea4898aba5f31904ee78b63ac82bc475678455e513	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ec2instanceconnect-1.12.564.jar	0c159524c4296b42ac58f6ea4898aba5f31904ee78b63ac82bc475678455e513	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
129	aws-java-sdk-ecr-1.12.564.jar	lib/aws-java-sdk-ecr-1.12.564.jar	9511c2a5cb5b034be520a92b26f14ed8e505172dae35c1880c0ae0b973a2eca3	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ecr-1.12.564.jar	9511c2a5cb5b034be520a92b26f14ed8e505172dae35c1880c0ae0b973a2eca3	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
130	aws-java-sdk-ecrpublic-1.12.564.jar	lib/aws-java-sdk-ecrpublic-1.12.564.jar	ff9f1bf95b1f564136c86ad2becf131c112a4362c82a14b3b0a0c9a2a7d550be	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ecrpublic-1.12.564.jar	ff9f1bf95b1f564136c86ad2becf131c112a4362c82a14b3b0a0c9a2a7d550be	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
131	aws-java-sdk-ecs-1.12.564.jar	lib/aws-java-sdk-ecs-1.12.564.jar	62bda6aabef4b8cd1751be8343ce28b690045417c7b2cbe530f7c505deb652ee	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-ecs-1.12.564.jar	62bda6aabef4b8cd1751be8343ce28b690045417c7b2cbe530f7c505deb652ee	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
132	aws-java-sdk-efs-1.12.564.jar	lib/aws-java-sdk-efs-1.12.564.jar	8bf4341a48fdefbd0d5218fc577914c4f3b713bd945d0564eea3f7ecc0905db1	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-efs-1.12.564.jar	8bf4341a48fdefbd0d5218fc577914c4f3b713bd945d0564eea3f7ecc0905db1	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
133	aws-java-sdk-eks-1.12.564.jar	lib/aws-java-sdk-eks-1.12.564.jar	366b46196b8ecdd982804ff9284027f3bfaf94a75fcf9f2d0b24450d4fc085ab	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-eks-1.12.564.jar	366b46196b8ecdd982804ff9284027f3bfaf94a75fcf9f2d0b24450d4fc085ab	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
134	aws-java-sdk-elasticache-1.12.564.jar	lib/aws-java-sdk-elasticache-1.12.564.jar	749bd665ee43ded6eb5a7432aeaf7163cafb04b6cca2e8880fc252867522083e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticache-1.12.564.jar	749bd665ee43ded6eb5a7432aeaf7163cafb04b6cca2e8880fc252867522083e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
135	aws-java-sdk-elasticbeanstalk-1.12.564.jar	lib/aws-java-sdk-elasticbeanstalk-1.12.564.jar	b44c8c66d33aee8f21f518f56df12a3c33dcbca6708062e2c1af487ac847328e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticbeanstalk-1.12.564.jar	b44c8c66d33aee8f21f518f56df12a3c33dcbca6708062e2c1af487ac847328e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
136	aws-java-sdk-elasticinference-1.12.564.jar	lib/aws-java-sdk-elasticinference-1.12.564.jar	3b3506b53e5a90f54e4b720ae9bd06e616b1cb341057f78426fce3bfde0f9ba4	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticinference-1.12.564.jar	3b3506b53e5a90f54e4b720ae9bd06e616b1cb341057f78426fce3bfde0f9ba4	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
137	aws-java-sdk-elasticloadbalancing-1.12.564.jar	lib/aws-java-sdk-elasticloadbalancing-1.12.564.jar	15c88e51642001be0d926bc2ce690671dc0dfd6c47dfdf25f35ae4a16ee47ae9	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticloadbalancing-1.12.564.jar	15c88e51642001be0d926bc2ce690671dc0dfd6c47dfdf25f35ae4a16ee47ae9	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
138	aws-java-sdk-elasticloadbalancingv2-1.12.564.jar	lib/aws-java-sdk-elasticloadbalancingv2-1.12.564.jar	d1f589385cafb664a683d9efb8190c5db71e57f3daf37f8863c78b67292bb020	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticloadbalancingv2-1.12.564.jar	d1f589385cafb664a683d9efb8190c5db71e57f3daf37f8863c78b67292bb020	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
139	aws-java-sdk-elasticsearch-1.12.564.jar	lib/aws-java-sdk-elasticsearch-1.12.564.jar	a3c0c609763ccb8a491636fb9dae46e53f38f66646a662f7a9daa6d7edc90914	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elasticsearch-1.12.564.jar	a3c0c609763ccb8a491636fb9dae46e53f38f66646a662f7a9daa6d7edc90914	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
140	aws-java-sdk-elastictranscoder-1.12.564.jar	lib/aws-java-sdk-elastictranscoder-1.12.564.jar	27fc3ac457ef1e136ba066499d1f6912a39871241d5e42eb4fa0829ee69d295a	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-elastictranscoder-1.12.564.jar	27fc3ac457ef1e136ba066499d1f6912a39871241d5e42eb4fa0829ee69d295a	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
141	aws-java-sdk-emr-1.12.564.jar	lib/aws-java-sdk-emr-1.12.564.jar	58007500c08bf43a76c3ddd7503d427178b4c170d574236e1ad249e615149a3f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-emr-1.12.564.jar	58007500c08bf43a76c3ddd7503d427178b4c170d574236e1ad249e615149a3f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
142	aws-java-sdk-emrcontainers-1.12.564.jar	lib/aws-java-sdk-emrcontainers-1.12.564.jar	239bdcb76a90d53985b6da14e5cd249055a1fdb676fad1c3df107f0109650a12	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-emrcontainers-1.12.564.jar	239bdcb76a90d53985b6da14e5cd249055a1fdb676fad1c3df107f0109650a12	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
143	aws-java-sdk-emrserverless-1.12.564.jar	lib/aws-java-sdk-emrserverless-1.12.564.jar	4b5c1f7f488c5129e5f21009d08ffbfeb2a0eb6935ea98ce04fbd819ed20fb0a	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-emrserverless-1.12.564.jar	4b5c1f7f488c5129e5f21009d08ffbfeb2a0eb6935ea98ce04fbd819ed20fb0a	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
144	aws-java-sdk-entityresolution-1.12.564.jar	lib/aws-java-sdk-entityresolution-1.12.564.jar	6852b5c20cba5cda94e78758b2541e582e2d96b4f72ccdc8dffec58889c6775f	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-entityresolution-1.12.564.jar	6852b5c20cba5cda94e78758b2541e582e2d96b4f72ccdc8dffec58889c6775f	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
145	aws-java-sdk-eventbridge-1.12.564.jar	lib/aws-java-sdk-eventbridge-1.12.564.jar	1cd4b50fd522b11c323d2c223cddc56e36ba4ba4870e7630657ef0c55d2e2306	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-eventbridge-1.12.564.jar	1cd4b50fd522b11c323d2c223cddc56e36ba4ba4870e7630657ef0c55d2e2306	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
146	aws-java-sdk-events-1.12.564.jar	lib/aws-java-sdk-events-1.12.564.jar	c0d9a47e25f7b16c2293d3ceedde713b35b2d50d3d52c6deff33c15583153211	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-events-1.12.564.jar	c0d9a47e25f7b16c2293d3ceedde713b35b2d50d3d52c6deff33c15583153211	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
147	aws-java-sdk-finspace-1.12.564.jar	lib/aws-java-sdk-finspace-1.12.564.jar	7f5b4d32948e9058a33e7ae7e1e7053eb0e190f60868c0c8bf1b3099c1644985	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-finspace-1.12.564.jar	7f5b4d32948e9058a33e7ae7e1e7053eb0e190f60868c0c8bf1b3099c1644985	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
148	aws-java-sdk-finspacedata-1.12.564.jar	lib/aws-java-sdk-finspacedata-1.12.564.jar	0f5aeb9e06779fbc505b6f963a1e387dc3fbd1ed9cece063c68fbfa5fb28199e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-finspacedata-1.12.564.jar	0f5aeb9e06779fbc505b6f963a1e387dc3fbd1ed9cece063c68fbfa5fb28199e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
149	aws-java-sdk-fis-1.12.564.jar	lib/aws-java-sdk-fis-1.12.564.jar	2ea3d41d5c036c549d1b14cf2658bebc9e573c288da7f9c558c332252e625e40	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-fis-1.12.564.jar	2ea3d41d5c036c549d1b14cf2658bebc9e573c288da7f9c558c332252e625e40	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
150	aws-java-sdk-fms-1.12.564.jar	lib/aws-java-sdk-fms-1.12.564.jar	7b2c74e6574e27013c0ab5da88e52f9b3a2904407cdef6648a29443f73b18bae	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-fms-1.12.564.jar	7b2c74e6574e27013c0ab5da88e52f9b3a2904407cdef6648a29443f73b18bae	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
151	aws-java-sdk-forecast-1.12.564.jar	lib/aws-java-sdk-forecast-1.12.564.jar	03d373eccda9bd0c943303e4c0f046b12e719af70981b5d36641ceee11124a60	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-forecast-1.12.564.jar	03d373eccda9bd0c943303e4c0f046b12e719af70981b5d36641ceee11124a60	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
152	aws-java-sdk-forecastquery-1.12.564.jar	lib/aws-java-sdk-forecastquery-1.12.564.jar	bdf484cc453a86fcd33fdf7c72ff1da88b2f7758006eeca1f72977074be8a02e	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-forecastquery-1.12.564.jar	bdf484cc453a86fcd33fdf7c72ff1da88b2f7758006eeca1f72977074be8a02e	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
153	aws-java-sdk-frauddetector-1.12.564.jar	lib/aws-java-sdk-frauddetector-1.12.564.jar	d017707a4f1b4bcc562c7e5edd835ccb047b0684ad99b4aae73b8ad9e5da2799	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-frauddetector-1.12.564.jar	d017707a4f1b4bcc562c7e5edd835ccb047b0684ad99b4aae73b8ad9e5da2799	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
154	aws-java-sdk-fsx-1.12.564.jar	lib/aws-java-sdk-fsx-1.12.564.jar	4f673c376bf4c481f56853dd337c185c13afe797a0a6bb5e6827f0026c99b2a2	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-fsx-1.12.564.jar	4f673c376bf4c481f56853dd337c185c13afe797a0a6bb5e6827f0026c99b2a2	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
155	aws-java-sdk-gamelift-1.12.564.jar	lib/aws-java-sdk-gamelift-1.12.564.jar	b85915ee94302e5e6adc7d568cdf66aa223bfc24007efef9a13d6b730c17f887	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-gamelift-1.12.564.jar	b85915ee94302e5e6adc7d568cdf66aa223bfc24007efef9a13d6b730c17f887	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
156	aws-java-sdk-gamesparks-1.12.564.jar	lib/aws-java-sdk-gamesparks-1.12.564.jar	8e9a62346c573f80cf659edbb94d373a114b1cce94e2c42c7f1dcdc899f73d44	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-gamesparks-1.12.564.jar	8e9a62346c573f80cf659edbb94d373a114b1cce94e2c42c7f1dcdc899f73d44	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
157	aws-java-sdk-glacier-1.12.564.jar	lib/aws-java-sdk-glacier-1.12.564.jar	4632c81a63a997600dd1fd5ea6c2379f8698782bf3083daba9792e9bca6beaaf	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-glacier-1.12.564.jar	4632c81a63a997600dd1fd5ea6c2379f8698782bf3083daba9792e9bca6beaaf	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
158	aws-java-sdk-globalaccelerator-1.12.564.jar	lib/aws-java-sdk-globalaccelerator-1.12.564.jar	89ab21cfc890b256a686c3dbf12d4f10e1c2f84c149a115f45cfbcd56ea0fa8d	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-globalaccelerator-1.12.564.jar	89ab21cfc890b256a686c3dbf12d4f10e1c2f84c149a115f45cfbcd56ea0fa8d	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
159	aws-java-sdk-glue-1.12.564.jar	lib/aws-java-sdk-glue-1.12.564.jar	eac7f1d3720a817ed447d2da68ddf01bd7d96c139c534c81d49a3f177e7c99d5	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-glue-1.12.564.jar	eac7f1d3720a817ed447d2da68ddf01bd7d96c139c534c81d49a3f177e7c99d5	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
160	aws-java-sdk-gluedatabrew-1.12.564.jar	lib/aws-java-sdk-gluedatabrew-1.12.564.jar	0673ae9e2ca96876cc80b8c46828aaf329cfdf93de16b0012bae3883e15916bd	transitive-or-packaged	0	RETAIN_HASH_PINNED_STAGE1	lib/aws-java-sdk-gluedatabrew-1.12.564.jar	0673ae9e2ca96876cc80b8c46828aaf329cfdf93de16b0012bae3883e15916bd	aws-and-alternative-storage-deferred	retained for complete-corpus structural compatibility; necessity is re-evaluated at the named later-stage scope
